CustomerID,Month,VoiceMins,DataGB,SMS,RoamingGB
CUST1000,2023-01,645,22.09944506454234,97,0.0
CUST1000,2023-02,454,17.41218415629232,16,0.0
CUST1000,2023-03,633,12.950063756745276,1,0.0
CUST1000,2023-04,818,3.1649403370394324,25,0.0
CUST1000,2023-05,10,10.992345135715999,58,0.0
CUST1000,2023-06,97,12.201156505035602,23,7.325720972102503
CUST1000,2023-07,1312,8.462381060569749,19,0.0
CUST1000,2023-08,1872,15.142804292436471,97,0.0
CUST1000,2023-09,72,2.7165645612063587,16,0.0
CUST1000,2023-10,1639,13.327406488810514,38,0.0
CUST1000,2023-11,107,20.99354589020559,93,0.0
CUST1000,2023-12,1636,3.2016711631357073,48,0.0
CUST1001,2023-01,1846,15.878369688700298,11,0.0
CUST1001,2023-02,1799,19.349006867360725,80,0.0
CUST1001,2023-03,709,29.427015605309652,81,0.0
CUST1001,2023-04,1945,2.022076296431945,25,0.0
CUST1001,2023-05,710,29.980928237192128,25,0.0
CUST1001,2023-06,1805,4.055416074200701,6,0.0
CUST1001,2023-07,1521,12.941998462050119,92,0.0
CUST1001,2023-08,934,13.926738708566605,58,0.0
CUST1001,2023-09,1182,11.258568858990524,59,0.0
CUST1001,2023-10,1194,10.526311431157952,54,0.0
CUST1001,2023-11,1911,16.41499312507245,92,0.0
CUST1001,2023-12,1184,26.63634357296752,41,0.0
CUST1002,2023-01,738,26.16791678007743,29,0.0
CUST1002,2023-02,1297,28.202497106130437,98,0.0
CUST1002,2023-03,28,23.132054523468245,92,0.0
CUST1002,2023-04,271,26.273474868496994,9,0.0
CUST1002,2023-05,339,22.2586778968723,93,0.0
CUST1002,2023-06,375,8.97355025379541,67,0.0
CUST1002,2023-07,431,1.0272810746357073,78,0.0
CUST1002,2023-08,1367,4.170907940257262,58,7.863450144155521
CUST1002,2023-09,938,17.86234975471074,38,0.0
CUST1002,2023-10,10,27.15985703167048,97,0.0
CUST1002,2023-11,1594,12.34661697455188,92,0.0
CUST1002,2023-12,1516,4.049993480032381,97,0.0
CUST1003,2023-01,505,23.497741970219224,5,0.0
CUST1003,2023-02,726,26.571683606421058,98,0.0
CUST1003,2023-03,1914,12.189139557628433,49,0.0
CUST1003,2023-04,2,24.567077187223223,12,0.0
CUST1003,2023-05,328,26.900182516221278,97,0.0
