CustomerID,Month,Amount,PaymentMethod,PaymentTimeliness
CUST1000,2023-01,34.0161890339232,Cash,Late
CUST1000,2023-02,62.51134345107502,Card,On-time
CUST1000,2023-03,96.4664663746392,Online,Late
CUST1000,2023-04,83.37353089823716,Cash,On-time
CUST1000,2023-05,71.80684710414458,,On-time
CUST1000,2023-06,54.6884826727628,Online,On-time
CUST1000,2023-07,69.59730331702671,Cash,On-time
CUST1000,2023-08,,Cash,On-time
CUST1000,2023-09,74.28251285840517,Card,On-time
CUST1000,2023-10,28.537108799501496,,Late
CUST1000,2023-11,40.47846070743978,Card,On-time
CUST1000,2023-12,53.66747107093346,,On-time
CUST1001,2023-01,88.66475524056385,Cash,On-time
CUST1001,2023-02,45.90151805343729,,
CUST1001,2023-03,86.06067660935747,Card,
CUST1001,2023-04,48.00570498199623,Card,On-time
CUST1001,2023-05,22.609937712510416,,
CUST1001,2023-06,52.61921975437755,Online,Late
CUST1001,2023-07,79.53367977462551,Online,
CUST1001,2023-08,33.88485440582551,,On-time
CUST1001,2023-09,31.239785188864133,Card,On-time
CUST1001,2023-10,93.81451472052896,Card,Late
CUST1001,2023-11,45.35709229584013,Online,On-time
CUST1001,2023-12,64.88957934301948,Card,On-time
CUST1002,2023-01,92.48779597150263,Card,On-time
CUST1002,2023-02,84.10977999003674,Card,Late
CUST1002,2023-03,67.71083347225834,Online,Late
CUST1002,2023-04,61.427624974952415,Online,On-time
CUST1002,2023-05,63.72179662659341,Cash,On-time
CUST1002,2023-06,31.246786499911757,Online,Late
CUST1002,2023-07,27.367794223241848,Card,Late
CUST1002,2023-08,57.304239198551805,Online,On-time
CUST1002,2023-09,91.36240923278248,Card,Late
CUST1002,2023-10,,Cash,On-time
CUST1002,2023-11,22.71770570663607,Online,On-time
CUST1002,2023-12,,Online,On-time
CUST1003,2023-01,21.25378991109806,Cash,On-time
CUST1003,2023-02,,Card,Late
CUST1003,2023-03,25.51898466069445,,Late
CUST1003,2023-04,29.7870860769713,,On-time
CUST1003,2023-05,59.22864281321499,Online,On-time
CUST1003,2023-06,79.95574303470923,Cash,Late
CUST1003,2023-07,67.63832053325385,Cash,On-time
CUST1003,2023-08,49.78237254479264,Card,On-time
CUST1003,2023-09,77.65342939681116,Card,Late
CUST1003,2023-10,26.548920473303514,Card,On-time
CUST1003,2023-11,48.590112275836994,,
CUST1003,2023-12,83.60699685282077,Card,On-time
CUST1004,2023-01,37.355458032586874,Card,On-time
CUST1004,2023-02,60.50971366050096,Card,On-time
CUST1004,2023-03,81.55493292808771,Card,Late
CUST1004,2023-04,79.33286475810544,Online,On-time
CUST1004,2023-05,62.93031234414432,,On-time
CUST1004,2023-06,,Card,
CUST1004,2023-07,,Card,On-time
CUST1004,2023-08,45.49401229862926,Cash,Late
CUST1004,2023-09,,Online,On-time
CUST1004,2023-10,88.85813297653043,,On-time
CUST1004,2023-11,85.25674160016584,Cash,
CUST1004,2023-12,29.186322537709557,,On-time
CUST1005,2023-01,22.780006538723683,Online,Late
CUST1005,2023-02,92.1740927981987,Cash,On-time
CUST1005,2023-03,79.39364094971185,,
CUST1005,2023-04,55.75890321131343,Card,Late
CUST1005,2023-05,82.88805172861369,Card,On-time
CUST1005,2023-06,26.74337507499308,Cash,On-time
CUST1005,2023-07,21.13825789833328,Online,Late
CUST1005,2023-08,79.16195474137795,Cash,On-time
CUST1005,2023-09,34.27872594776679,Online,On-time
CUST1005,2023-10,25.750020296689957,Cash,
CUST1005,2023-11,,Cash,On-time
CUST1005,2023-12,38.0365909390127,Card,Late
CUST1006,2023-01,69.79884309649837,Card,On-time
CUST1006,2023-02,67.44902226597819,Card,On-time
CUST1006,2023-03,33.975948113671876,Card,On-time
CUST1006,2023-04,65.52535985936717,Card,On-time
CUST1006,2023-05,62.83666471674729,,Late
CUST1006,2023-06,86.75022909251263,Card,On-time
CUST1006,2023-07,35.09378329824261,Cash,Late
CUST1006,2023-08,44.147129619801234,Cash,Late
CUST1006,2023-09,80.91109320839578,,On-time
CUST1006,2023-10,40.48355891009023,Card,
CUST1006,2023-11,34.44769663237789,Card,On-time
CUST1006,2023-12,43.511206655945344,Card,On-time
CUST1007,2023-01,94.54605784492958,Card,On-time
CUST1007,2023-02,59.485823461518486,Cash,On-time
CUST1007,2023-03,87.3580020325017,Card,Late
CUST1007,2023-04,43.870441084917516,Cash,Late
CUST1007,2023-05,22.487569755444483,Cash,On-time
CUST1007,2023-06,73.67671208348418,Card,On-time
CUST1007,2023-07,47.46827091328416,Cash,On-time
CUST1007,2023-08,97.02042779394608,Card,On-time
CUST1007,2023-09,97.67802638880481,,On-time
CUST1007,2023-10,,,On-time
CUST1007,2023-11,86.33561128127506,Card,On-time
CUST1007,2023-12,63.66875208158098,Card,On-time
CUST1008,2023-01,36.64396385800801,Card,Late
CUST1008,2023-02,62.631226271327904,Online,Late
CUST1008,2023-03,39.667067014441415,Online,On-time
CUST1008,2023-04,,Card,Late
CUST1008,2023-05,,Card,Late
CUST1008,2023-06,70.69856040461094,Card,On-time
CUST1008,2023-07,23.79188623449312,Cash,On-time
CUST1008,2023-08,58.00741347898895,Card,Late
CUST1008,2023-09,44.52792612199004,Online,On-time
CUST1008,2023-10,47.81325366070932,Card,On-time
CUST1008,2023-11,71.61096991485765,Card,On-time
CUST1008,2023-12,99.01369017867937,Cash,Late
CUST1009,2023-01,43.785416760963756,Card,On-time
CUST1009,2023-02,78.49710559970248,Cash,On-time
CUST1009,2023-03,81.77218651944924,Online,On-time
CUST1009,2023-04,21.527812448256356,Online,Late
CUST1009,2023-05,81.28974010761041,Card,Late
CUST1009,2023-06,75.1081489840532,,On-time
CUST1009,2023-07,57.049442716036026,Card,On-time
CUST1009,2023-08,93.34998631390553,Online,On-time
CUST1009,2023-09,84.06267306991143,Cash,On-time
CUST1009,2023-10,87.39824305612518,Cash,Late
CUST1009,2023-11,97.14702145688045,Cash,Late
CUST1009,2023-12,,Card,Late
CUST1010,2023-01,45.60442840443826,Card,On-time
CUST1010,2023-02,,Card,Late
CUST1010,2023-03,26.995926749510932,Cash,On-time
CUST1010,2023-04,37.5184183913246,Cash,On-time
CUST1010,2023-05,30.81822807641311,Card,On-time
CUST1010,2023-06,76.64090646970317,Online,On-time
CUST1010,2023-07,50.446975591821364,Card,Late
CUST1010,2023-08,45.065904286143336,Cash,On-time
CUST1010,2023-09,48.50024343190411,Cash,On-time
CUST1010,2023-10,55.60888277761025,Cash,On-time
CUST1010,2023-11,41.53680463004976,Cash,Late
CUST1010,2023-12,53.96576814722856,Online,On-time
CUST1011,2023-01,70.36082577221197,Cash,Late
CUST1011,2023-02,43.75560767628576,Online,On-time
CUST1011,2023-03,74.03644944186004,Card,Late
CUST1011,2023-04,67.56400809160358,Card,On-time
CUST1011,2023-05,40.54507848137913,Cash,Late
CUST1011,2023-06,,Cash,On-time
CUST1011,2023-07,49.59424762445269,Cash,On-time
CUST1011,2023-08,30.4488608028906,,Late
CUST1011,2023-09,54.098516661181144,Card,
CUST1011,2023-10,,Card,On-time
CUST1011,2023-11,70.64548878920857,Cash,Late
CUST1011,2023-12,80.64588011366394,Card,Late
CUST1012,2023-01,42.20373274384194,Cash,On-time
CUST1012,2023-02,49.14326037388632,Card,On-time
CUST1012,2023-03,31.408004306375233,Cash,On-time
CUST1012,2023-04,42.3454503250625,,Late
CUST1012,2023-05,71.602506764156,Online,On-time
CUST1012,2023-06,32.35319554719939,Online,On-time
CUST1012,2023-07,52.57131076447291,,Late
CUST1012,2023-08,29.213112952362046,Cash,On-time
CUST1012,2023-09,,Cash,Late
CUST1012,2023-10,39.9744310384409,Cash,
CUST1012,2023-11,75.15791195254111,,Late
CUST1012,2023-12,47.81080695809611,,On-time
CUST1013,2023-01,56.68839037378735,Cash,
CUST1013,2023-02,61.1269499903419,Online,On-time
CUST1013,2023-03,95.91487000012032,Cash,On-time
CUST1013,2023-04,20.28292989625797,,On-time
CUST1013,2023-05,33.9287398026588,Card,Late
CUST1013,2023-06,94.86374727163623,Cash,Late
CUST1013,2023-07,84.32182316153047,Online,On-time
CUST1013,2023-08,40.1953970422374,Cash,
CUST1013,2023-09,27.620196392346017,Card,Late
CUST1013,2023-10,37.94934621539038,Card,Late
CUST1013,2023-11,79.48715252169808,Card,On-time
CUST1013,2023-12,25.844691682622518,Cash,On-time
CUST1014,2023-01,23.44017323556575,Card,Late
CUST1014,2023-02,76.96436269529818,Online,On-time
CUST1014,2023-03,61.966846325881946,Card,On-time
CUST1014,2023-04,45.35084417378166,Card,On-time
CUST1014,2023-05,26.771408576980107,Card,On-time
CUST1014,2023-06,67.50974446264456,Card,Late
CUST1014,2023-07,61.64216902473309,Online,On-time
CUST1014,2023-08,,,On-time
CUST1014,2023-09,65.7506070612888,Card,On-time
CUST1014,2023-10,21.862966355406552,Card,Late
CUST1014,2023-11,39.538409360766735,Card,Late
CUST1014,2023-12,62.268169804098875,,On-time
CUST1015,2023-01,84.93708781766672,Online,On-time
CUST1015,2023-02,76.05636609498946,Card,
CUST1015,2023-03,45.46521601078212,Card,Late
CUST1015,2023-04,70.86996218648056,,On-time
CUST1015,2023-05,,Online,Late
CUST1015,2023-06,83.91719220269965,Card,On-time
CUST1015,2023-07,44.56001462786672,Card,Late
CUST1015,2023-08,85.5304177248801,Card,Late
CUST1015,2023-09,65.83949152908744,Cash,On-time
CUST1015,2023-10,56.00228096149499,Cash,On-time
CUST1015,2023-11,,Card,Late
CUST1015,2023-12,,Online,Late
CUST1016,2023-01,86.87875592747798,Card,Late
CUST1016,2023-02,90.84190710025577,Online,On-time
CUST1016,2023-03,62.111903669221874,Cash,On-time
CUST1016,2023-04,50.501257527123784,Cash,
CUST1016,2023-05,54.34569335501642,Card,On-time
CUST1016,2023-06,85.10607200789634,Card,On-time
CUST1016,2023-07,93.10370075413032,Card,On-time
CUST1016,2023-08,75.66418518606241,,On-time
CUST1016,2023-09,,Online,Late
CUST1016,2023-10,51.74343051725225,Cash,On-time
CUST1016,2023-11,66.29744084721904,Card,On-time
CUST1016,2023-12,35.868517459946645,Online,On-time
CUST1017,2023-01,29.471747314212323,Online,On-time
CUST1017,2023-02,78.72034804796837,Card,On-time
CUST1017,2023-03,90.80954567261168,Card,On-time
CUST1017,2023-04,34.37544757210424,,On-time
CUST1017,2023-05,98.75738984740929,Cash,Late
CUST1017,2023-06,50.56918916076149,Cash,On-time
CUST1017,2023-07,35.74493995682457,Card,On-time
CUST1017,2023-08,50.71513784298071,Card,Late
CUST1017,2023-09,61.489202530826724,Online,On-time
CUST1017,2023-10,80.86356073227184,Card,On-time
CUST1017,2023-11,35.470612759906,Online,On-time
CUST1017,2023-12,30.397634929505006,Cash,On-time
CUST1018,2023-01,92.33348396381814,Online,On-time
CUST1018,2023-02,86.67130512836833,,On-time
CUST1018,2023-03,67.33264524189363,Card,
CUST1018,2023-04,,Card,Late
CUST1018,2023-05,,Online,Late
CUST1018,2023-06,,Cash,Late
CUST1018,2023-07,94.86970335715664,Online,On-time
CUST1018,2023-08,,,On-time
CUST1018,2023-09,,Online,Late
CUST1018,2023-10,55.80071725490719,Cash,Late
CUST1018,2023-11,96.46893442997904,Cash,Late
CUST1018,2023-12,32.09946705175728,Card,Late
